Name;{DB};{V};{max(G;V)};{V+G};{GurF};{V+GurF};{GurL};{V+GurL};;;;
10teams;210;1600;153;16;100.000000;0.000000;0.000000;100.000000;100.000000;93.877551;93.877551;100.000000;100.000000
23588;137;237;75;75;5.772831;72.182376;71.614817;71.614817;71.624582;15.591428;68.936554;24.381330;71.775864
30n20b8;387;4191;184;190;11.099235;1.564622;0.033334;11.099235;11.099235;0.926468;1.331188;16.910036;16.300723
50v-10;233;2013;29;29;45.753596;18.008191;11.184101;45.753596;45.823184;49.858925;50.152252;73.169318;74.444520
a1c1s1;1876;2489;154;3;25.105518;4.895611;1.094331;25.105518;25.382401;45.584474;46.254097;88.806373;88.730339
a2c1s1;1856;2459;157;18;24.372660;3.337449;0.461882;24.372660;24.372660;42.797493;44.248500;91.529658;92.019454
aflow30a;449;812;25;25;16.535257;17.165164;16.826909;16.826909;19.285755;29.601743;29.630046;64.901464;65.248266
aflow40b;1401;2687;34;36;11.998511;14.593600;13.335246;13.335246;15.418911;30.750832;32.147917;56.327792;58.695585
aligninq;337;1831;182;163;11.588572;64.299609;61.102243;61.102243;61.192626;32.482223;60.672286;50.798315;62.436114
app3;370;1392;18;15;20.407763;55.666020;15.523885;20.407763;26.668549;28.427030;34.823870;83.904311;84.426687
arki001;693;957;64;5;35.058472;13.182081;4.079894;35.058472;35.102376;20.248234;28.014112;48.869264;48.871128
assign1-5-8;161;156;114;114;6.618782;10.217019;9.098207;9.098207;9.664307;5.980892;9.123327;8.516395;9.818255
b1c1s1;2520;2651;240;9;23.005942;3.738399;0.049882;23.005942;23.006597;22.481832;27.757283;76.316351;76.687606
b2c1s1;2546;2677;238;4;19.812503;2.007490;0.085124;19.812503;19.812503;23.068346;23.399644;72.082156;72.319120
bc1;1338;1044;5;5;0.588660;12.142929;8.782692;8.782692;8.782692;30.316716;30.697595;44.931708;45.026253
bc;1877;1275;15;16;2.354318;13.704051;13.098632;13.098632;13.265505;15.132026;17.714754;30.255197;30.650560
beasleyC1;700;1099;17;17;22.727273;38.636364;25.655353;25.655353;33.381609;51.068723;56.222424;93.708488;95.587072
beasleyC2;680;1072;32;32;4.103874;13.908046;9.735397;9.735397;11.206920;49.441452;49.920936;97.279885;97.496174
beasleyC3;790;1220;124;124;1.296774;2.810011;1.236898;1.296774;1.796111;57.739584;63.229491;97.718222;97.873228
beavma;247;272;39;4;48.237939;25.049562;8.833743;48.237939;52.326115;68.308900;71.307711;98.179449;99.863844
bell3a;63;82;7;3;36.981245;53.708715;39.917269;39.917269;45.962990;38.390677;45.539042;45.554474;48.032209
bell3b;73;91;24;22;31.169081;85.444932;83.838252;83.838252;84.614672;37.151535;86.210578;52.141406;95.623971
bell4;73;88;27;7;25.571055;21.718478;14.215831;25.571055;26.150411;25.258301;26.099440;30.716805;31.236991
bell5;34;56;10;10;13.841306;84.749100;73.821812;73.821812;75.114788;13.678494;25.223423;36.657882;76.807401
berlin\_5\_8\_0;1328;979;235;9;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
bg512142;897;757;204;63;0.808097;2.001413;0.808720;0.808720;1.386087;3.505379;3.812320;10.772976;10.985625
bienst1;520;449;26;13;11.954844;43.613094;43.613094;43.613094;43.613094;7.855112;43.613094;14.658337;43.613094
bienst2;520;449;33;7;9.766071;35.628116;24.178572;24.178572;24.178572;7.172345;26.617698;12.276856;35.628116
binkar10\_1;813;1399;38;38;10.938467;9.960835;7.437965;10.938467;12.589482;23.148694;38.107301;74.038507;74.586287
blend2;154;302;12;6;5.456519;29.371552;12.032537;12.032537;12.032537;5.456514;10.871470;20.575602;21.179358
blp-ir98;473;4675;43;45;40.790175;19.065059;4.179578;40.790175;40.790175;29.672404;32.636636;86.385608;87.344047
bm23;20;27;6;6;16.809643;71.466577;69.642109;69.642109;69.642109;21.160060;66.200094;39.057502;71.147067
bnatt400;3808;1901;545;5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
bppc8-02;57;204;17;13;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
bppc8-09;75;364;30;30;3.078078;3.301803;0.593229;3.078078;3.078078;1.187913;1.588956;3.611834;3.167295
breastcancer-regularized;485;477;9;200;0.014743;22.653915;8.872811;8.872811;8.884573;0.200984;7.681624;24.700635;27.249663
cap6000;1725;4596;2;2;41.647393;67.980383;63.480611;63.480611;63.480611;35.697489;35.697766;36.023078;38.816797
cod105;1024;1024;598;391;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
control30-3-2-3;324;247;10;24;0.000631;0.004913;0.000961;0.000961;0.001357;0.015750;0.016448;0.016493;0.016988
cost266-UUE;1302;3882;55;56;23.918555;19.131540;4.959522;23.918555;24.672267;20.095159;22.266687;37.291402;38.677593
cov1075;637;120;120;1;1.546747;10.657895;10.657895;10.657895;10.657895;2.803562;26.181818;5.371749;26.535908
