Name;Dual Bound;Primal Bound;Gap%;Nodes;Time;Status;Solution
ex10;100;100;0.0;0;68;ok;ok
ex9;81;81;0.0;0;7;ok;ok
leo1;-1E+20;1E+20;--;0;90397;abort;--
leo2;-1E+20;1E+20;--;0;8033;abort;--
lotsize;-1E+20;1E+20;--;0;11017;abort;--
beasleyC3;754;754;0.0;1;12;ok;ok
cbs-cta;0;0;0.0;1;23;ok;ok
decomp2;-160;-160;0.0;0;1;ok;ok
drayage-100-23;103333.874;103333.874;0.0;1;3;ok;ok
enlight_hard;37;37;0.0;0;1;ok;ok
exp-1-500-5-5;65887;65887;0.0;1;2;ok;ok
hypothyroid-k1;-2851;-2851;0.0;1;11;ok;ok
neos-1122047;161;161;0.0;0;6;ok;ok
neos-1171448;-309;-309;0.0;1;8;ok;ok
neos-2075418-temuka;0;1E+20;--;1;7202;stopped;--
neos-2987310-joes;-607702988;-607702988;0.0;0;11;ok;ok
neos-3381206-awhea;453;453;0.0;1;1;ok;ok
neos-3402454-bohle;0;1E+20;--;1;7206;stopped;--
neos-4532248-waihi;1.42526459;1E+20;--;1;7201;stopped;--
neos-5114902-kasavu;628.194444;1E+20;--;1;7203;stopped;--
neos-787933;30;30;0.0;1;2;ok;ok
neos-827175;112.00152;112.00152;0.0;0;3;ok;ok
neos8;-3719;-3719;0.0;1;4;ok;ok
ns1644855;-1524.33333;-1524.33333;0.0;1;380;ok;ok
p200x1188c;15078;15078;0.0;1;2;ok;ok
qap10;340;340;0.0;0;26;ok;ok
rail02;-206.6102;1E+20;--;1;7200;stopped;--
savsched1;217.403571;31846.3;Large;1;7202;stopped;ok
supportcase19;0;1E+20;--;1;7205;stopped;--
app1-1;-3;-3;0.0;2;3;ok;ok
drayage-25-23;101282.647;101282.647;0.0;2;4;ok;ok
neos-860300;3201;3201;0.0;2;11;ok;ok
neos-957323;-237.756681;-237.756681;0.0;2;59;ok;ok
physiciansched6-2;49324;49324;0.0;2;59;ok;ok
triptim1;22.8681;22.8681;0.0;2;166;ok;ok
cod105;-12;-12;0.0;3;42;ok;ok
k1mushroom;-3288;-3288;0.0;3;649;ok;ok
neos-4413714-turia;45.370167;45.370167;0.0;3;180;ok;ok
highschool1-aigio;1.26651736e-13;1E+20;--;5;7201;stopped;--
mc11;11689;11689;0.0;5;20;ok;ok
gfd-schedulen180f7d50m30k18;1;1E+20;--;6;7250;stopped;--
irp;12159.4928;12159.4928;0.0;7;8;ok;ok
neos-848589;2351.4031;2351.4031;0.0;7;797;ok;ok
nursesched-sprint02;58;58;0.0;7;24;ok;ok
nw04;16862;16862;0.0;8;22;ok;ok
supportcase10;3.62185401;10;176.1;11;7201;stopped;ok
buildingenergy;33283.8134;33334.6202;0.2;13;7206;stopped;ok
neos-5049753-cuanza;554.106667;1E+20;--;13;7201;stopped;--
dano3_3;576.344633;576.344633;0.0;14;50;ok;ok
piperout-27;8124;8124;0.0;20;11;ok;ok
neos-5104907-jarama;815.656074;1E+20;--;23;7202;stopped;--
square47;9.23403508;17;84.1;31;7210;stopped;ok
piperout-08;125055;125055;0.0;35;8;ok;ok
supportcase22;1.99575926;1E+20;--;39;7201;stopped;--
neos-1582420;91;91;0.0;43;13;ok;ok
neos-631710;189;226;19.6;43;7201;stopped;ok
neos-933966;318;318;0.0;43;450;ok;ok
satellites2-40;-29;49;--;45;7201;stopped;ok
neos-960392;-238;-238;0.0;51;596;ok;ok
supportcase7;-1132.22317;-1132.22317;0.0;51;124;ok;ok
nu25-pr12;53905;53905;0.0;65;4;ok;ok
h80x6320d;6382.09905;6382.09905;0.0;72;86;ok;ok
